序號,機關代碼,機關名稱,網站名稱,網址,標章等級,登錄日期,標章狀態
2743,0,民間團體,新光銀行金融友善服務專區,https://nbankAccessible.skbank.com.tw/Accessible.Web,A,109/6/22,啟用
2744,376491300D,雲林縣稅務局,雲林縣稅務局全球資訊網,https://www.yltb.gov.tw/,AA,109/6/22,啟用
2745,0,民間團體,凱基銀行簡易功能網路ATM,https://iccard.kgibank.com/KGIeATMAppsWeb/simpleform?trancode=NewKgieATMDefault,A,109/6/22,啟用
2746,380162400A,桃園市楊梅地政事務所,桃園市楊梅地政事務所,http://www.yangmei-land.tycg.gov.tw/,A,109/6/22,啟用
2747,379590700E,臺北市藝文推廣處,Taipei City Arts Promotion Office,https://english.tapo.gov.taipei/,AA,109/6/22,啟用
2748,0,民間團體,國票綜合證券金融友善服務,https://friendly.ibfs.com.tw,A,109/6/23,啟用
2749,382350000A,新北市政府客家事務局,新北市客家數位館,https://www.hakka-digital.ntpc.gov.tw,A,109/6/23,啟用
2750,376608200A,嘉義市西區區公所,嘉義市西區區公所,https://west.chiayi.gov.tw/,AA,109/6/23,啟用
2751,A11045600F,法務部矯正署新店戒治所,法務部矯正署新店戒治所,https://www.sdb.moj.gov.tw/,A,109/6/23,啟用
2752,379041000E,臺北市教師研習中心,臺北市優質學校資源網,http://tpqs.tp.edu.tw,A,109/6/23,啟用
2753,376423100E,宜蘭縣立蘭陽博物館,蘭陽博物館博物館家族網,http://families.lym.gov.tw,AA,109/6/23,啟用
2754,315100000H,交通部運輸研究所,交通部運輸研究所全球資訊網,https://www.iot.gov.tw/,A,109/6/24,啟用
2755,382170000G,新北市政府經濟發展局,新北市政府經濟發展局新北市工業用地供需服 務資訊網,http://www.cfgis.ntpc.gov.tw/ntland/default.aspx,A,109/6/24,啟用
2756,380250000G,桃園市政府水務局,桃園市政府水務局,https://wrb.tycg.gov.tw/,A,109/6/24,啟用
2757,382120200J,新北市立八里愛心教養院,新北市輔具資源中心,https://atrc.aihsin.ntpc.net.tw/,AA,109/6/26,啟用
2758,0,民間團體,山川久也獎助學金申請系統,http://cip2.beta.tw/,AA,109/6/29,啟用
2759,309250000Q,國立臺灣師範大學,國立臺灣師範大學社會工作學研究所,https://www.sw.ntnu.edu.tw,AA,109/6/29,啟用
2760,376450306I,苗栗縣政府環境保護局,苗栗縣政府環境保護局全球資訊網,https://www.mlepb.gov.tw,A,109/6/29,啟用
2761,0,民間團體,臺亞基金會玉山論壇網站,https://web.yushanforum.org,AA,109/6/29,啟用
2762,382162800A,新北市瑞芳地政事務所,新北市瑞芳地政事務所,https://www.ruifang.land.ntpc.gov.tw/Default.aspx,A,109/6/30,啟用
2763,382162300A,新北市新莊地政事務所,新北市新莊地政事務所,https://www.xinzhuang.land.ntpc.gov.tw/,A,109/6/30,啟用
2764,0,民間團體,日盛國際商業銀行友善網路銀行,https://ibank.jihsunbank.com.tw/EZFEWEB/,A,109/7/1,啟用
2765,397026900A,高雄市苓雅戶政事務所,高雄市苓雅戶政事務所,https://lyhr-house.kcg.gov.tw,AA,109/7/1,啟用
2766,379670000G,臺北市政府產業發展局,臺北市政府產業發展局臺北產經資訊網,https://www.taipeiecon.taipei,A,109/7/1,啟用
2767,A51009100G,國軍退除役官兵輔導委員會榮民森林保育事業管理處,國軍退除役官兵輔導委員會榮民森林保育事業管理處官網,https://www.fcea.gov.tw/,A,109/7/1,啟用
2768,A25000000E,文化部,文化部補助網站從未消失：台灣平埔族群影像資料庫-,https://pingpu.culture.tw,AA,109/7/1,啟用
2769,380110000G,桃園市政府工務局,桃園市政府工務局,http://pwb.tycg.gov.tw/,A,109/7/1,啟用
2770,A25000000E,文化部,文化部所屬工藝中心臺灣優良工藝品,https://tgc.ntcri.gov.tw,AA,109/7/2,啟用
2771,380162500A,桃園市蘆竹地政事務所,桃園市蘆竹地政事務所,https://www.luzhu-land.tycg.gov.tw/,A,109/7/2,啟用
2772,380360000G,桃園市政府都市發展局,桃園市政府都市發展局,https://urdb.tycg.gov.tw/,A,109/7/2,啟用
2773,380020000A,桃園市政府民政局,桃園市政府民政局,http://cab.tycg.gov.tw/,A,109/7/2,啟用
